signup_day,days_since_signup,events_per_user
2025-02-06 00:00:00,0,1.0769230769230769
2025-02-06 00:00:00,1,1.0
2025-02-06 00:00:00,2,1.0
2025-02-06 00:00:00,3,1.0
2025-02-06 00:00:00,4,2.25
2025-02-06 00:00:00,5,1.4285714285714286
2025-02-06 00:00:00,6,3.0
2025-02-06 00:00:00,7,2.0
2025-02-06 00:00:00,8,2.0833333333333335
2025-02-06 00:00:00,9,2.3076923076923075
2025-02-06 00:00:00,10,2.4
2025-02-06 00:00:00,11,2.3636363636363638
2025-02-06 00:00:00,12,3.25
2025-02-06 00:00:00,13,2.4166666666666665
2025-02-06 00:00:00,14,2.5833333333333335
2025-02-06 00:00:00,15,3.5
2025-02-06 00:00:00,16,3.0
2025-02-06 00:00:00,17,3.3846153846153846
2025-02-06 00:00:00,18,4.384615384615385
2025-02-06 00:00:00,19,4.583333333333333
2025-02-06 00:00:00,20,3.769230769230769
2025-02-06 00:00:00,21,3.6153846153846154
2025-02-06 00:00:00,22,5.333333333333333
2025-02-06 00:00:00,23,3.6153846153846154
2025-02-06 00:00:00,24,4.615384615384615
2025-02-06 00:00:00,25,4.3076923076923075
2025-02-06 00:00:00,26,4.076923076923077
2025-02-06 00:00:00,27,4.384615384615385
2025-02-06 00:00:00,28,4.538461538461538
2025-02-06 00:00:00,29,4.3076923076923075
2025-02-06 00:00:00,30,7.846153846153846
2025-02-06 00:00:00,31,6.6923076923076925
2025-02-06 00:00:00,32,7.923076923076923
2025-02-06 00:00:00,33,8.153846153846153
2025-02-06 00:00:00,34,8.153846153846153
2025-02-06 00:00:00,35,7.0
2025-02-06 00:00:00,36,7.6923076923076925
2025-02-06 00:00:00,37,7.538461538461538
2025-02-06 00:00:00,38,8.0
2025-02-06 00:00:00,39,8.307692307692308
2025-02-06 00:00:00,40,8.23076923076923
2025-02-06 00:00:00,41,7.923076923076923
2025-02-06 00:00:00,42,6.6923076923076925
2025-02-06 00:00:00,43,7.846153846153846
2025-02-06 00:00:00,44,8.23076923076923
2025-02-06 00:00:00,45,9.461538461538462
2025-02-06 00:00:00,46,10.307692307692308
2025-02-06 00:00:00,47,10.153846153846153
2025-02-06 00:00:00,48,8.076923076923077
2025-02-06 00:00:00,49,10.384615384615385
2025-02-06 00:00:00,50,8.76923076923077
2025-02-06 00:00:00,51,10.692307692307692
2025-02-06 00:00:00,52,10.0
2025-02-06 00:00:00,53,10.846153846153847
2025-02-06 00:00:00,54,9.923076923076923
2025-02-06 00:00:00,55,9.307692307692308
2025-02-06 00:00:00,56,9.0
2025-02-06 00:00:00,57,10.461538461538462
